customer_name,Total_Revenue,Total_Orders,Avg_Order_Value,Lifetime_Value
"Ken Lonsdale",2377,2,1188.50,2377
"Maria Etezadi",1801,1,1801.00,1801
"Paul Stevenson",1768,1,1768.00,1768
"Erin Smith",1636,1,1636.00,1636
"Hunter Lopez",1565,2,782.50,1565
"Elpida Rittenbach",1559,1,1559.00,1559
"Dorothy Dickinson",1373,4,343.25,1373
"Chris Selesnick",1353,2,676.50,1353
"Roy Phan",1348,1,1348.00,1348
"Christopher Conant",1325,1,1325.00,1325
"Luke Schmidt",1213,1,1213.00,1213
"Katrina Bavinger",1196,1,1196.00,1196
"Liz Thompson",1172,2,586.00,1172
"Sharelle Roach",1150,1,1150.00,1150
"Maribeth Schnelling",1134,1,1134.00,1134
"Darren Powers",1103,1,1103.00,1103
"David Flashing",1081,1,1081.00,1081
"Tom Prescott",1042,1,1042.00,1042
"Don Jones",1022,1,1022.00,1022
"Larry Tron",1018,1,1018.00,1018
"Alan Shonely",1000,1,1000.00,1000
"Aleksandra Gannaway",995,1,995.00,995
"Sanjit Jacobs",968,1,968.00,968
"Jocasta Rupert",957,2,478.50,957
"Bryan Davis",952,1,952.00,952
"Bart Pistole",943,3,314.33,943
"Jill Matthias",941,2,470.50,941
"Shirley Daniels",925,2,462.50,925
"Michelle Arnett",922,1,922.00,922
"Dave Poirier",904,1,904.00,904
"John Huston",885,1,885.00,885
"Thomas Seio",880,1,880.00,880
"Ed Braxton",865,2,432.50,865
"Resi P̦lking",862,2,431.00,862
"Michelle Ellison",850,2,425.00,850
"Philip Fox",837,1,837.00,837
"Eric Murdock",835,2,417.50,835
"Roger Demir",832,1,832.00,832
"Muhammed MacIntyre",829,2,414.50,829
"Frank Olsen",821,2,410.50,821
"Jennifer Patt",799,1,799.00,799
"Steve Carroll",775,1,775.00,775
"Charles Sheldon",746,1,746.00,746
"Ann Blume",742,2,371.00,742
"Evan Henry",729,1,729.00,729
"Lindsay Williams",714,1,714.00,714
"Xylona Preis",691,1,691.00,691
"Ken Heidel",683,1,683.00,683
"Kean Nguyen",679,2,339.50,679
"Marc Harrigan",678,1,678.00,678
