customer_name,R,F,M,Customer_Segment
"Ken Lonsdale",2,5,5,"At Risk"
"Maria Etezadi",5,4,5,Champions
"Paul Stevenson",3,3,5,"Loyal Customers"
"Erin Smith",2,1,5,"Lost Customers"
"Hunter Lopez",3,5,5,"Loyal Customers"
"Elpida Rittenbach",5,4,5,Champions
"Dorothy Dickinson",2,5,5,"At Risk"
"Chris Selesnick",1,5,5,"At Risk"
"Roy Phan",4,4,5,Champions
"Christopher Conant",2,1,5,"Lost Customers"
"Luke Schmidt",2,2,5,"Lost Customers"
"Katrina Bavinger",1,1,5,"Lost Customers"
"Liz Thompson",1,5,5,"At Risk"
"Sharelle Roach",4,3,5,"Loyal Customers"
"Maribeth Schnelling",5,4,5,Champions
"Darren Powers",5,4,5,Champions
"David Flashing",4,4,5,Champions
"Tom Prescott",1,1,5,"Lost Customers"
"Don Jones",4,3,5,"Loyal Customers"
"Larry Tron",3,3,5,"Loyal Customers"
"Alan Shonely",3,2,5,"Potential Loyalist"
"Aleksandra Gannaway",4,3,5,"Loyal Customers"
"Sanjit Jacobs",5,4,5,Champions
"Jocasta Rupert",3,5,5,"Loyal Customers"
"Bryan Davis",2,2,5,"Lost Customers"
"Bart Pistole",1,5,5,"At Risk"
"Jill Matthias",2,5,5,"At Risk"
"Shirley Daniels",3,5,5,"Loyal Customers"
"Michelle Arnett",4,3,5,"Loyal Customers"
"Dave Poirier",5,4,5,Champions
"John Huston",1,1,5,"Lost Customers"
"Thomas Seio",4,4,5,Champions
"Ed Braxton",2,5,5,"At Risk"
"Resi PÃ¶lking",2,5,5,"At Risk"
"Michelle Ellison",1,5,5,"At Risk"
"Philip Fox",5,4,5,Champions
"Eric Murdock",1,5,5,"At Risk"
"Roger Demir",4,3,5,"Loyal Customers"
"Muhammed MacIntyre",1,5,5,"At Risk"
"Frank Olsen",1,5,5,"At Risk"
"Jennifer Patt",1,1,5,"Lost Customers"
"Steve Carroll",5,4,5,Champions
"Charles Sheldon",4,3,5,"Loyal Customers"
"Ann Blume",3,5,5,"Loyal Customers"
"Evan Henry",2,1,5,"Lost Customers"
"Lindsay Williams",5,5,5,Champions
"Xylona Preis",3,3,5,"Loyal Customers"
"Ken Heidel",2,2,5,"Lost Customers"
"Kean Nguyen",3,5,5,"Loyal Customers"
"Marc Harrigan",3,3,5,"Loyal Customers"
"Sally Hughsby",3,5,4,"Loyal Customers"
"Carol Adams",1,5,4,"At Risk"
"Hallie Redmond",1,1,4,"Lost Customers"
"Craig Leslie",4,3,4,"Loyal Customers"
"Ellis Ballard",2,1,4,"Lost Customers"
"Anna HÃ¤berlin",1,1,4,"Lost Customers"
"Christine Phan",3,2,4,"Potential Loyalist"
"Allen Rosenblatt",3,2,4,"Potential Loyalist"
"Philisse Overcash",1,1,4,"Lost Customers"
"David Kendrick",2,5,4,"At Risk"
"Larry Blacks",5,5,4,Champions
"Michael Paige",3,5,4,"Loyal Customers"
"Natalie DeCherney",4,3,4,"Loyal Customers"
"Edward Hooks",4,3,4,"Loyal Customers"
"Daniel Raglin",1,1,4,"Lost Customers"
"Bradley Drucker",2,5,4,"At Risk"
"Stewart Visinsky",5,5,4,Champions
"Ryan Crowe",3,3,4,"Loyal Customers"
"Dave Hallsten",2,2,4,"Lost Customers"
"Jay Fein",3,2,4,"Potential Loyalist"
"Giulietta Dortch",2,1,4,"Lost Customers"
